timestamp,P1,P2,year,month
2019-09-01 11:23:17,7.193924268503111,2.5902409638555297,2019,9
2019-09-01 11:25:46,7.194956970740631,2.592358003442449,2019,9
2019-09-01 11:28:16,7.196901893287964,2.5924784853701595,2019,9
2019-09-01 11:30:46,7.196953528399839,2.592530120482036,2019,9
2019-09-01 11:33:14,7.202805507745794,2.5936833046472683,2019,9
2019-09-01 11:35:43,7.206833046472128,2.599139414802173,2019,9
2019-09-01 11:38:11,7.20838209982841,2.599604130809058,2019,9
2019-09-01 11:40:40,7.207521514630475,2.59851979345966,2019,9
2019-09-01 11:43:09,7.2027022375220415,2.5975559380379734,2019,9
2019-09-01 11:45:38,7.201376936317222,2.5968674698796255,2019,9
2019-09-01 11:48:08,7.193683304647686,2.5957142857143936,2019,9
2019-09-01 11:50:37,7.18783132530173,2.594853700516459,2019,9
2019-09-01 11:53:06,7.184905335628752,2.5941652323581117,2019,9
2019-09-01 11:55:35,7.183235800344758,2.5931841652324663,2019,9
2019-09-01 11:58:05,7.180086058520318,2.591635111876184,2019,9
2019-09-01 12:00:34,7.17808950086111,2.595886402753981,2019,9
2019-09-01 12:03:04,7.1645955249574955,2.5937177280551857,2019,9
2019-09-01 12:05:32,7.152547332186411,2.591772805507853,2019,9
2019-09-01 12:08:02,7.143838209983312,2.5888468158348754,2019,9
2019-09-01 12:10:30,7.132358003442865,2.5860929432014843,2019,9
2019-09-01 12:12:59,7.114974182444585,2.582650602409746,2019,9
2019-09-01 12:15:28,7.100275387263863,2.5791566265061316,2019,9
2019-09-01 12:17:57,7.083235800344758,2.5752495697075086,2019,9
2019-09-01 12:20:25,7.07347676420018,2.573407917383929,2019,9
2019-09-01 12:22:54,7.058330464716532,2.570533562822827,2019,9
2019-09-01 12:25:23,7.047091222031506,2.5683993115319494,2019,9
2019-09-01 12:27:52,7.0275903614463076,2.5616351118761833,2019,9
2019-09-01 12:30:20,7.0190361445788385,2.5597418244407275,2019,9
2019-09-01 12:32:51,7.014388984509992,2.558364888124032,2019,9
2019-09-01 12:35:20,7.004113597246652,2.5576247848538087,2019,9
2019-09-01 12:37:49,6.998950086059045,2.5565920826162873,2019,9
2019-09-01 12:40:17,6.992633390706206,2.5548192771085416,2019,9
2019-09-01 12:42:47,6.982478485370577,2.5521858864028615,2019,9
2019-09-01 12:45:16,6.971927710843898,2.5507917383822076,2019,9
2019-09-01 12:47:45,6.968864027539252,2.5492943201378013,2019,9
2019-09-01 12:50:14,6.951876075732024,2.5477280550775605,2019,9
2019-09-01 12:52:44,6.939535283993641,2.5456110154906413,2019,9
2019-09-01 12:55:13,6.933080895009132,2.54418244406207,2019,9
2019-09-01 12:57:42,6.927693631670061,2.5431497418245486,2019,9
2019-09-01 13:00:10,6.923786574871438,2.542685025817664,2019,9
2019-09-01 13:02:39,6.918657487091748,2.5413080895009688,2019,9
2019-09-01 13:05:08,6.911170395869717,2.5397418244407275,2019,9
2019-09-01 13:07:37,6.903253012048719,2.537039586919213,2019,9
2019-09-01 13:10:06,6.898141135972987,2.5359724612737744,2019,9
2019-09-01 13:12:34,6.890000000000526,2.5343717728056157,2019,9
2019-09-01 13:15:03,6.888519793460079,2.5339931153185247,2019,9
2019-09-01 13:17:32,6.893993115318942,2.542289156626614,2019,9
2019-09-01 13:20:00,6.890808950086584,2.5426333907057876,2019,9
2019-09-01 13:22:29,6.888141135972988,2.541962134251399,2019,9
2019-09-01 13:24:58,6.887710843374021,2.5417555938038947,2019,9
2019-09-01 13:27:26,6.884698795181249,2.5410671256455473,2019,9
2019-09-01 13:29:55,6.8806712564549155,2.540981067125754,2019,9
2019-09-01 13:32:23,6.878123924269029,2.540430292599076,2019,9
2019-09-01 13:34:51,6.872736660929958,2.540258175559489,2019,9
2019-09-01 13:37:20,6.8657142857148115,2.539173838210091,2019,9
2019-09-01 13:39:48,6.8653184165237615,2.5381927710844456,2019,9
2019-09-01 13:42:17,6.86337349397643,2.5376764199656847,2019,9
2019-09-01 13:44:45,6.863459552496223,2.5375559380379737,2019,9
2019-09-01 13:47:14,6.863717728055604,2.5372977624785933,2019,9
2019-09-01 13:49:42,6.8643545611020755,2.53695352839942,2019,9
2019-09-01 13:52:11,6.859001721170921,2.537160068846924,2019,9
2019-09-01 13:54:39,6.8562994836494076,2.5375731497419323,2019,9
2019-09-01 13:57:08,6.8562994836494076,2.537091222031089,2019,9
2019-09-01 13:59:36,6.858881239243211,2.5369191049915023,2019,9
2019-09-01 14:02:05,6.85574870912273,2.536196213425237,2019,9
2019-09-01 14:04:33,6.854595524957499,2.53616179001732,2019,9
2019-09-01 14:07:02,6.852702237522042,2.5359380378658565,2019,9
2019-09-01 14:09:30,6.852444061962662,2.5353012048193846,2019,9
2019-09-01 14:11:58,6.846333907057326,2.5340447504304002,2019,9
2019-09-01 14:14:27,6.866643717728582,2.5563683304648235,2019,9
2019-09-01 14:16:55,6.870464716007412,2.557401032702345,2019,9
2019-09-01 14:19:24,6.86495697074063,2.557022375215254,2019,9
2019-09-01 14:21:52,6.866454388985037,2.5587435456111227,2019,9
2019-09-01 14:24:21,6.867796901893815,2.5592598967298836,2019,9
2019-09-01 14:26:49,6.864354561102076,2.559862306368438,2019,9
2019-09-01 14:29:17,6.862633390706208,2.5598967297763555,2019,9
2019-09-01 14:31:46,6.858674698795709,2.559122203098214,2019,9
2019-09-01 14:34:14,6.856781411360253,2.5590361445784207,2019,9
2019-09-01 14:36:43,6.857005163511716,2.5567641996558734,2019,9
2019-09-01 14:39:11,6.85602409638607,2.556161790017319,2019,9
2019-09-01 14:41:40,6.852925989673507,2.5569707401033774,2019,9
2019-09-01 14:44:08,6.864853700516879,2.5655765920827234,2019,9
2019-09-01 14:46:36,6.867005163511716,2.565714285714393,2019,9
2019-09-01 14:49:05,6.867814113597775,2.565335628227302,2019,9
2019-09-01 14:51:33,6.868640275387792,2.5658519793460624,2019,9
2019-09-01 14:54:02,6.86669535284046,2.5660413080896083,2019,9
2019-09-01 14:56:30,6.867469879518602,2.5660413080896083,2019,9
2019-09-01 14:58:59,6.861359724613266,2.5644922547333264,2019,9
2019-09-01 15:01:27,6.863803786575399,2.5662650602410713,2019,9
2019-09-01 15:03:56,6.8630981067130925,2.565955249569815,2019,9
2019-09-01 15:06:25,6.864767641997085,2.5658175559381453,2019,9
2019-09-01 15:08:54,6.862564543890372,2.565129087779798,2019,9
2019-09-01 15:11:23,6.861876075732024,2.56444061962145,2019,9
2019-09-01 15:13:51,6.859122203098633,2.5625473321859937,2019,9
2019-09-01 15:16:19,6.852495697074537,2.561376936316803,2019,9
2019-09-01 15:18:48,6.855249569707928,2.560240963855529,2019,9
2019-09-01 15:21:17,6.8483132530125745,2.5601549053357355,2019,9
2019-09-01 15:23:45,6.845903614458358,2.5601549053357355,2019,9
2019-09-01 15:26:14,6.856110154905862,2.570017211704066,2019,9
2019-09-01 15:29:07,6.8579690189334,2.5783132530121557,2019,9
2019-09-01 15:31:46,6.855318416523762,2.578571428571536,2019,9
2019-09-01 15:34:42,6.85454388984562,2.5777624784854782,2019,9
2019-09-01 15:37:29,6.856643717728581,2.577383820998387,2019,9
2019-09-01 15:40:19,6.861913793103974,2.57708620689666,2019,9
2019-09-01 15:43:07,6.863172413793629,2.5787241379311427,2019,9
2019-09-01 15:45:54,6.8737758620694915,2.5887068965518325,2019,9
2019-09-01 15:48:23,6.871413793103975,2.588051724138039,2019,9
2019-09-01 15:50:51,6.865500000000527,2.5868448275863147,2019,9
2019-09-01 15:53:20,6.869689655172941,2.5914655172414873,2019,9
2019-09-01 15:55:48,6.868568965517769,2.5901206896552806,2019,9
2019-09-01 15:58:16,6.865948275862596,2.5908103448276947,2019,9
2019-09-01 16:00:45,6.867068965517769,2.592051724138039,2019,9
2019-09-01 16:03:13,6.866293103448802,2.5907931034483838,2019,9
2019-09-01 16:05:42,6.863586206897079,2.5911724137932115,2019,9
2019-09-01 16:08:10,6.860431034483285,2.5908275862070047,2019,9
2019-09-01 16:10:39,6.855258620690182,2.589879310344936,2019,9
2019-09-01 16:13:07,6.854620689655699,2.5902241379311426,2019,9
2019-09-01 16:15:36,6.852258620690182,2.5901724137932116,2019,9
2019-09-01 16:18:04,6.846086206897079,2.59008620689666,2019,9
2019-09-01 16:20:33,6.837724137931562,2.5879655172414875,2019,9
2019-09-01 16:23:03,6.844275862069492,2.588827586207005,2019,9
2019-09-01 16:25:31,6.836293103448802,2.589344827586315,2019,9
2019-09-01 16:28:00,6.848913793103974,2.5971896551725218,2019,9
2019-09-01 16:30:29,6.842310344828111,2.596879310344936,2019,9
2019-09-01 16:32:58,6.846482758621215,2.5973103448276946,2019,9
2019-09-01 16:35:26,6.847482758621215,2.5974827586207976,2019,9
2019-09-01 16:37:55,6.850879310345353,2.596137931034591,2019,9
2019-09-01 16:40:23,6.84820689655225,2.597258620689763,2019,9
2019-09-01 16:42:52,6.841137931035008,2.5965344827587287,2019,9
2019-09-01 16:45:21,6.841086206897078,2.596017241379418,2019,9
2019-09-01 16:47:50,6.836706896552251,2.5962241379311424,2019,9
2019-09-01 16:50:19,6.8304482758625955,2.5953965517242454,2019,9
2019-09-01 16:52:48,6.831879310345355,2.5962931034483834,2019,9
2019-09-01 16:55:17,6.828000000000527,2.5959827586207975,2019,9
2019-09-01 16:57:46,6.817224137931562,2.5948965517242457,2019,9
2019-09-01 17:00:15,6.813068965517769,2.5943448275863146,2019,9
2019-09-01 17:02:45,6.812810344828113,2.5937931034483834,2019,9
2019-09-01 17:05:14,6.803534482759149,2.592327586207004,2019,9
2019-09-01 17:07:42,6.805000000000528,2.592241379310452,2019,9
