dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,0.0,-0.18,2020,8
Friday,1,0.0,-0.0975,2020,8
Friday,2,0.0,-0.184,2020,8
Friday,3,0.0,-0.1742857142857143,2020,8
Friday,4,0.0,-0.2,2020,8
Friday,5,0.06666666666666667,-0.15333333333333335,2020,8
Friday,6,1.4833333333333334,0.01833333333333333,2020,8
Friday,7,0.0,-0.16,2020,8
Friday,8,0.0,-0.11285714285714286,2020,8
Friday,9,0.028571428571428574,-0.1457142857142857,2020,8
Friday,10,0.0,-0.1757142857142857,2020,8
Friday,11,0.0,-0.16666666666666666,2020,8
Friday,12,0.0,-0.1416666666666667,2020,8
Friday,13,0.14,-0.17125,2020,8
Friday,14,0.0,-0.15857142857142859,2020,8
Friday,15,0.0,-0.17375000000000002,2020,8
Friday,16,0.0,-0.17,2020,8
Friday,17,0.0,-0.16666666666666666,2020,8
Friday,18,0.18,-0.18833333333333335,2020,8
Friday,19,0.0,-0.16,2020,8
Friday,20,0.21,-0.2,2020,8
Friday,21,0.0,-0.1825,2020,8
Friday,22,0.0,-0.16666666666666666,2020,8
Friday,23,0.049999999999999996,-0.15666666666666668,2020,8
Monday,0,-0.1111111111111111,-0.20666666666666667,2020,8
Monday,1,0.0,-0.22600000000000003,2020,8
Monday,2,0.0,-0.19727272727272727,2020,8
Monday,3,0.0,-0.23125,2020,8
Monday,4,0.0,-0.12333333333333334,2020,8
Monday,5,0.0,-0.3,2020,8
Monday,6,0.0,-0.20000000000000004,2020,8
Monday,7,0.0,-0.2,2020,8
Monday,8,0.0,-0.22166666666666668,2020,8
Monday,9,0.0,-0.2,2020,8
Monday,10,0.0,-0.17777777777777778,2020,8
Monday,11,0.0,-0.2,2020,8
Monday,12,0.0,-0.17500000000000002,2020,8
Monday,13,0.11454545454545455,-0.17200000000000001,2020,8
Monday,14,0.17,-0.14,2020,8
Monday,15,0.14,-0.17375000000000002,2020,8
Monday,16,0.0,-0.2,2020,8
Monday,17,0.0,-0.15625,2020,8
Monday,18,0.0,-0.14142857142857143,2020,8
Monday,19,0.0,-0.16272727272727272,2020,8
Monday,20,0.0,-0.14700000000000002,2020,8
Monday,21,0.0,-0.18142857142857144,2020,8
Monday,22,0.0,-0.20777777777777778,2020,8
Monday,23,0.0,-0.209,2020,8
Saturday,0,0.1575,-0.17142857142857146,2020,8
Saturday,1,0.0,-0.18142857142857144,2020,8
Saturday,2,0.0,-0.14857142857142858,2020,8
Saturday,3,0.0,-0.16999999999999998,2020,8
Saturday,4,0.0,-0.22000000000000003,2020,8
Saturday,5,0.0,-0.155,2020,8
Saturday,6,0.315,-0.16666666666666666,2020,8
Saturday,7,0.0,-0.15666666666666668,2020,8
Saturday,8,0.0,-0.153,2020,8
Saturday,9,0.0,-0.1888888888888889,2020,8
Saturday,10,0.0,-0.17142857142857146,2020,8
Saturday,11,0.136,-0.16777777777777778,2020,8
Saturday,12,0.126,-0.19777777777777777,2020,8
Saturday,13,0.0,-0.18181818181818182,2020,8
Saturday,14,0.0,-0.18,2020,8
Saturday,15,0.0,-0.2,2020,8
Saturday,16,0.0,-0.176,2020,8
Saturday,17,0.0,-0.1390909090909091,2020,8
Saturday,18,0.0,-0.18875,2020,8
Saturday,19,0.0,-0.21444444444444447,2020,8
