dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,7.8837662337662335,3.642857142857143,2022,9
Friday,1,13.929999999999998,7.266428571428571,2022,9
Friday,2,15.213999999999999,8.07,2022,9
Friday,3,12.641428571428571,6.784285714285715,2022,9
Friday,4,11.460799999999999,6.2875999999999985,2022,9
Friday,5,7.802916666666666,5.328333333333334,2022,9
Friday,6,6.916060606060604,4.166666666666667,2022,9
Friday,7,7.382499999999999,3.402083333333333,2022,9
Friday,8,4.8063414634146335,1.8809756097560972,2022,9
Friday,9,3.4175,1.1806250000000003,2022,9
Friday,10,3.6515,1.3094999999999999,2022,9
Friday,11,4.2595238095238095,1.3764285714285713,2022,9
Friday,12,4.769772727272726,1.7281818181818183,2022,9
Friday,13,4.641399999999999,1.5952000000000004,2022,9
Friday,14,3.763278688524589,1.3357377049180323,2022,9
Friday,15,3.462,1.0976923076923075,2022,9
Friday,16,3.682031249999999,1.1703125000000005,2022,9
Friday,17,5.168219178082192,2.076575342465753,2022,9
Friday,18,7.715694444444441,3.4730555555555553,2022,9
Friday,19,8.430972222222223,2.9255555555555555,2022,9
Friday,20,10.383098591549293,2.9347887323943653,2022,9
Friday,21,10.479577464788733,2.5963380281690127,2022,9
Friday,22,11.688055555555556,2.5190277777777776,2022,9
Friday,23,12.267260273972601,2.550958904109589,2022,9
Monday,0,6.979999999999999,3.3018867924528292,2022,9
Monday,1,7.605106382978724,3.2536170212765954,2022,9
Monday,2,7.880172413793104,3.355172413793103,2022,9
Monday,3,6.457611940298504,2.569402985074627,2022,9
Monday,4,6.773888888888889,2.4518055555555573,2022,9
Monday,5,6.842191780821918,2.676027397260274,2022,9
Monday,6,9.301549295774644,3.0853521126760546,2022,9
Monday,7,9.264857142857144,3.0792857142857137,2022,9
Monday,8,12.245714285714284,3.4169841269841275,2022,9
Monday,9,11.14913043478261,2.789565217391305,2022,9
Monday,10,6.383859649122809,1.86719298245614,2022,9
Monday,11,4.019142857142858,1.1959999999999995,2022,9
Monday,12,3.734324324324324,1.0586486486486486,2022,9
Monday,13,3.339761904761905,1.0959523809523808,2022,9
Monday,14,3.9071052631578946,1.2728947368421053,2022,9
Monday,15,3.9454838709677413,1.4198387096774192,2022,9
Monday,16,4.481754385964911,1.5133333333333334,2022,9
Monday,17,6.213835616438355,1.9515068493150682,2022,9
Monday,18,7.186046511627903,2.2653488372093014,2022,9
Monday,19,7.545869565217393,2.817282608695652,2022,9
Monday,20,6.833723404255321,2.7721276595744686,2022,9
Monday,21,6.501595744680852,2.5985106382978715,2022,9
Monday,22,6.116428571428574,2.4891836734693875,2022,9
Monday,23,5.9088775510204075,2.3053061224489793,2022,9
Saturday,0,4.999019607843138,1.858823529411765,2022,9
Saturday,1,6.124883720930232,2.3232558139534882,2022,9
Saturday,2,6.130285714285713,2.827714285714286,2022,9
Saturday,3,8.392432432432427,4.563378378378378,2022,9
Saturday,4,11.315492957746475,5.94774647887324,2022,9
Saturday,5,9.870142857142858,5.064428571428572,2022,9
Saturday,6,10.395342465753428,5.098219178082192,2022,9
Saturday,7,9.948767123287672,4.897397260273973,2022,9
Saturday,8,7.55363636363636,3.707878787878789,2022,9
Saturday,9,7.973913043478263,4.135652173913044,2022,9
Saturday,10,7.3783999999999965,3.5308000000000006,2022,9
Saturday,11,5.215399999999999,2.6738000000000004,2022,9
Saturday,12,3.818771929824559,1.5759649122807018,2022,9
Saturday,13,3.7919642857142866,1.3557142857142852,2022,9
Saturday,14,4.894590163934425,1.1180327868852469,2022,9
Saturday,15,2.799615384615383,0.8998717948717948,2022,9
Saturday,16,3.01125,0.9835227272727277,2022,9
Saturday,17,3.01,1.0196103896103896,2022,9
Saturday,18,5.148021978021977,1.7740659340659335,2022,9
Saturday,19,9.303209876543212,4.170370370370368,2022,9
Saturday,20,5.681882352941177,2.2517647058823536,2022,9
Saturday,21,6.5924691358024665,2.7223456790123453,2022,9
Saturday,22,6.947738095238091,2.721309523809523,2022,9
Saturday,23,7.05488095238095,2.9516666666666658,2022,9
Sunday,0,7.912096774193548,3.3811290322580647,2022,9
Sunday,1,8.23212121212121,3.8351515151515154,2022,9
Sunday,2,8.901142857142858,4.046285714285714,2022,9
Sunday,3,9.1432,4.0132,2022,9
Sunday,4,7.7842857142857165,3.6130612244897975,2022,9
Sunday,5,7.325416666666669,3.48375,2022,9
Sunday,6,7.458367346938773,3.55,2022,9
Sunday,7,7.69081632653061,4.09938775510204,2022,9
Sunday,8,7.0299999999999985,3.807619047619046,2022,9
Sunday,9,4.549642857142858,2.218571428571429,2022,9
Sunday,10,3.2589473684210524,1.4968421052631573,2022,9
Sunday,11,2.646764705882353,1.119705882352941,2022,9
Sunday,12,5.171153846153844,1.6896153846153843,2022,9
Sunday,13,4.995102040816326,1.381020408163265,2022,9
Sunday,14,7.634901960784314,1.3819607843137254,2022,9
Sunday,15,4.535901639344262,1.1614754098360658,2022,9
Sunday,16,6.072031249999998,1.2335937500000005,2022,9
Sunday,17,3.484843749999998,1.2351562499999995,2022,9
Sunday,18,4.292786885245902,1.572786885245902,2022,9
Sunday,19,4.850163934426228,1.7683606557377045,2022,9
Sunday,20,5.524032258064517,2.1380645161290324,2022,9
Sunday,21,5.842037037037039,2.464814814814815,2022,9
Sunday,22,6.71741379310345,2.798448275862069,2022,9
Sunday,23,7.083518518518519,3.499444444444443,2022,9
Thursday,0,3.9660273972602735,1.8239726027397256,2022,9
Thursday,1,5.012545454545455,2.02,2022,9
Thursday,2,5.391764705882353,2.3689705882352943,2022,9
Thursday,3,6.295753424657534,2.9465753424657524,2022,9
Thursday,4,7.226986301369865,3.651095890410957,2022,9
Thursday,5,8.954305555555557,4.438611111111111,2022,9
Thursday,6,10.87680555555555,4.297083333333332,2022,9
Thursday,7,10.767746478873242,3.8400000000000007,2022,9
