dayOfWeek,hourOfDay,P1,P2,year,month
Tuesday,0,14.04,3.1471999999999998,2022,11
Tuesday,1,17.287142857142857,2.761904761904762,2022,11
Tuesday,2,18.05210526315789,2.597894736842105,2022,11
Tuesday,3,16.292777777777776,2.3122222222222217,2022,11
Tuesday,4,14.179583333333333,2.00375,2022,11
Tuesday,5,16.194000000000003,2.176,2022,11
Tuesday,6,11.636399999999997,1.7424000000000004,2022,11
Tuesday,7,6.46,1.1904166666666665,2022,11
Tuesday,8,5.5088,1.0884,2022,11
Tuesday,9,4.59875,1.0245833333333334,2022,11
Tuesday,10,5.110588235294117,1.135294117647059,2022,11
Tuesday,11,3.3509090909090915,0.8495454545454546,2022,11
Tuesday,12,4.1623809523809525,1.099047619047619,2022,11
Tuesday,13,5.853076923076923,1.2030769230769232,2022,11
Tuesday,14,4.770666666666667,1.014,2022,11
Tuesday,15,6.6271428571428554,1.2076190476190478,2022,11
Tuesday,16,3.7077777777777783,0.8661111111111112,2022,11
Tuesday,17,6.159199999999999,1.2203999999999997,2022,11
Tuesday,18,7.48,1.5305882352941176,2022,11
Tuesday,19,6.52421052631579,1.2968421052631576,2022,11
Tuesday,20,8.220434782608695,1.423913043478261,2022,11
Tuesday,21,6.78,1.392272727272727,2022,11
Tuesday,22,7.995,1.2745000000000002,2022,11
Tuesday,23,10.887894736842105,1.8036842105263156,2022,11
