dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,2.8043548387096764,1.75,2022,9
Friday,1,2.7617241379310333,1.6099999999999994,2022,9
Friday,2,2.4290163934426237,1.4121311475409835,2022,9
Friday,3,2.3594117647058814,1.28921568627451,2022,9
Friday,4,2.051935483870968,1.150806451612903,2022,9
Friday,5,2.1510416666666665,1.2443750000000005,2022,9
Friday,6,2.3662745098039215,1.2607843137254902,2022,9
Friday,7,2.601866666666668,1.1390666666666667,2022,9
Friday,8,2.4872580645161277,1.1287096774193555,2022,9
Friday,9,2.2771794871794864,0.9564102564102563,2022,9
Friday,10,2.1802127659574464,0.9170212765957444,2022,9
Friday,11,1.828108108108108,0.9845945945945944,2022,9
Friday,12,1.9486842105263154,1.0826315789473686,2022,9
Friday,13,2.1553846153846155,1.1198076923076923,2022,9
Friday,14,1.6216393442622945,1.0155737704918026,2022,9
Friday,15,1.757164179104478,1.0425373134328362,2022,9
Friday,16,1.8971874999999996,1.03328125,2022,9
Friday,17,2.5350724637681172,1.4272463768115937,2022,9
Friday,18,2.92673076923077,1.5284615384615385,2022,9
Friday,19,2.9162500000000002,1.54125,2022,9
Friday,20,2.6238596491228066,1.569999999999999,2022,9
Friday,21,2.7572727272727273,1.6918181818181812,2022,9
Friday,22,2.711864406779661,1.5213559322033894,2022,9
Friday,23,2.8956666666666657,1.7615,2022,9
Monday,0,5.1888235294117635,3.321764705882352,2022,9
Monday,1,5.3264,3.1952000000000003,2022,9
Monday,2,5.570882352941176,3.185588235294117,2022,9
Monday,3,4.592727272727272,2.786818181818181,2022,9
Monday,4,3.654210526315789,2.1018421052631577,2022,9
Monday,5,3.994500000000001,2.2779999999999996,2022,9
Monday,6,5.235862068965516,3.2396551724137925,2022,9
Monday,7,6.754634146341464,3.1799999999999997,2022,9
Monday,8,5.6947222222222225,2.5816666666666666,2022,9
Monday,9,5.09578947368421,2.254210526315789,2022,9
Monday,10,3.9186206896551723,1.7141379310344829,2022,9
Monday,11,3.4290000000000007,1.1149999999999998,2022,9
Monday,12,2.876923076923077,1.118076923076923,2022,9
Monday,13,2.4696969696969693,1.2418181818181822,2022,9
Monday,14,1.9631034482758618,1.3,2022,9
Monday,15,2.7797560975609747,1.5865853658536584,2022,9
Monday,16,3.5392500000000005,1.9865,2022,9
Monday,17,2.784864864864865,1.716216216216216,2022,9
Monday,18,3.639117647058823,1.963235294117647,2022,9
Monday,19,4.361395348837209,2.4488372093023254,2022,9
Monday,20,3.892444444444444,2.2999999999999994,2022,9
Monday,21,4.121555555555554,2.3531111111111116,2022,9
Monday,22,3.9893478260869575,2.360869565217391,2022,9
Monday,23,2.8097727272727275,1.8913636363636366,2022,9
Saturday,0,3.270285714285714,2.178857142857143,2022,9
Saturday,1,4.0655,2.4925,2022,9
Saturday,2,3.9721739130434797,2.629565217391305,2022,9
Saturday,3,5.916382978723405,4.005531914893617,2022,9
Saturday,4,8.651702127659574,5.055106382978724,2022,9
Saturday,5,8.026808510638297,4.622978723404256,2022,9
Saturday,6,7.3171428571428585,4.310816326530611,2022,9
Saturday,7,7.831860465116278,4.955116279069768,2022,9
Saturday,8,5.622571428571429,3.6679999999999997,2022,9
Saturday,9,11.445000000000002,7.1850000000000005,2022,9
Saturday,10,7.4104545454545425,4.598636363636363,2022,9
Saturday,11,3.1679310344827587,2.169310344827586,2022,9
Saturday,12,3.5873076923076925,2.405,2022,9
Saturday,13,2.8339285714285714,1.6500000000000004,2022,9
Saturday,14,1.6993750000000003,1.0915625000000007,2022,9
Saturday,15,1.5928124999999995,0.936875,2022,9
Saturday,16,1.3900000000000003,0.8965625000000002,2022,9
Saturday,17,1.8204166666666668,0.9895833333333331,2022,9
Saturday,18,2.8175000000000003,1.5496875,2022,9
Saturday,19,4.871176470588236,2.7064705882352937,2022,9
Saturday,20,6.589428571428572,3.6988571428571437,2022,9
Saturday,21,7.950937500000001,4.2596875,2022,9
Saturday,22,6.784473684210523,4.045526315789475,2022,9
Saturday,23,6.282222222222224,3.7922222222222217,2022,9
Sunday,0,6.251794871794871,3.9220512820512816,2022,9
Sunday,1,6.3662068965517244,3.699310344827586,2022,9
Sunday,2,5.208214285714285,3.1707142857142854,2022,9
Sunday,3,5.609090909090909,3.4442424242424243,2022,9
Sunday,4,4.897777777777778,2.8147222222222226,2022,9
Sunday,5,5.257575757575758,2.977575757575757,2022,9
Sunday,6,4.882413793103448,3.187586206896552,2022,9
Sunday,7,6.039444444444445,3.585277777777778,2022,9
Sunday,8,8.483571428571427,4.917142857142857,2022,9
Sunday,9,4.71578947368421,2.754736842105263,2022,9
Sunday,10,3.068636363636364,1.8427272727272723,2022,9
Sunday,11,2.7525000000000004,1.2406249999999999,2022,9
Sunday,12,2.9463999999999997,1.0904,2022,9
Sunday,13,1.993666666666667,0.9826666666666667,2022,9
Sunday,14,2.0910344827586207,0.8441379310344829,2022,9
Sunday,15,1.8772222222222221,0.8483333333333333,2022,9
Sunday,16,2.025,0.9100000000000004,2022,9
Sunday,17,2.3266666666666675,1.1338888888888894,2022,9
Sunday,18,3.4556410256410257,1.675897435897436,2022,9
Sunday,19,5.37054054054054,2.7459459459459454,2022,9
Sunday,20,3.200714285714286,1.588809523809524,2022,9
Sunday,21,3.2382758620689653,1.9217241379310348,2022,9
Sunday,22,4.347931034482759,2.6448275862068966,2022,9
Sunday,23,5.781481481481482,3.4744444444444436,2022,9
Thursday,0,2.7842857142857143,0.8684285714285709,2022,9
Thursday,1,2.537333333333332,0.8348333333333332,2022,9
Thursday,2,2.8787323943661973,0.8532394366197181,2022,9
Thursday,3,2.5014492753623188,0.8221739130434784,2022,9
Thursday,4,2.4041428571428565,0.8781428571428576,2022,9
Thursday,5,2.8628169014084506,0.9566197183098594,2022,9
Thursday,6,3.564062499999999,1.1573437499999997,2022,9
Thursday,7,3.2517857142857136,1.2008928571428577,2022,9
Thursday,8,3.6579629629629613,1.0912962962962964,2022,9
Thursday,9,3.110238095238095,0.900714285714286,2022,9
Thursday,10,2.7144186046511622,0.9618604651162789,2022,9
Thursday,11,2.4692857142857148,0.8403571428571431,2022,9
Thursday,12,2.3122857142857143,0.9219999999999999,2022,9
Thursday,13,2.792894736842105,1.0705263157894744,2022,9
Thursday,14,2.1300000000000003,0.9324444444444444,2022,9
Thursday,15,2.0184782608695646,0.9486956521739132,2022,9
Thursday,16,2.1577083333333333,0.9508333333333336,2022,9
Thursday,17,1.6137209302325581,0.8474418604651166,2022,9
Thursday,18,2.2381481481481478,1.0822222222222222,2022,9
Thursday,19,2.178684210526316,1.0571052631578952,2022,9
Thursday,20,1.9472093023255819,1.074418604651163,2022,9
Thursday,21,2.1238983050847446,1.1177966101694918,2022,9
Thursday,22,1.97078125,1.0037500000000001,2022,9
Thursday,23,1.9988333333333332,1.2404999999999995,2022,9
Tuesday,0,2.9191836734693877,1.7112244897959186,2022,9
Tuesday,1,4.1852,2.5067999999999997,2022,9
Tuesday,2,3.430526315789473,1.9273684210526323,2022,9
Tuesday,3,3.6960975609756095,2.1097560975609753,2022,9
Tuesday,4,3.8087999999999993,2.055999999999999,2022,9
Tuesday,5,3.002765957446809,1.5708510638297872,2022,9
Tuesday,6,3.5746938775510197,1.7791836734693875,2022,9
Tuesday,7,4.282340425531915,1.8193617021276596,2022,9
Tuesday,8,3.994090909090908,1.227045454545455,2022,9
Tuesday,9,3.5541666666666663,1.006388888888889,2022,9
Tuesday,10,3.0932258064516125,0.9293548387096774,2022,9
Tuesday,11,3.4516000000000004,1.0052,2022,9
Tuesday,12,3.221923076923077,1.1549999999999998,2022,9
Tuesday,13,3.5396774193548395,1.1270967741935483,2022,9
Tuesday,14,3.83690476190476,1.0773809523809523,2022,9
Tuesday,15,4.592954545454545,1.6704545454545454,2022,9
Tuesday,16,3.4479591836734698,1.3251020408163263,2022,9
Tuesday,17,4.438,1.6055555555555558,2022,9
Tuesday,18,5.358409090909092,1.7743181818181823,2022,9
Tuesday,19,4.293636363636363,1.5863636363636366,2022,9
Tuesday,20,3.973695652173914,1.4886956521739128,2022,9
Tuesday,21,4.018085106382978,1.5789361702127658,2022,9
Tuesday,22,4.310208333333333,1.3997916666666665,2022,9
Tuesday,23,5.43608695652174,1.6817391304347826,2022,9
Wednesday,0,5.209111111111112,1.7913333333333339,2022,9
Wednesday,1,4.878333333333333,1.5913333333333335,2022,9
Wednesday,2,6.19861111111111,2.617222222222223,2022,9
Wednesday,3,7.168421052631579,2.735526315789474,2022,9
Wednesday,4,7.368125000000002,2.8802083333333335,2022,9
Wednesday,5,7.576956521739131,2.8923913043478255,2022,9
Wednesday,6,6.689130434782607,2.4852173913043476,2022,9
Wednesday,7,6.71948717948718,2.0092307692307694,2022,9
Wednesday,8,5.325,1.3889999999999998,2022,9
Wednesday,9,6.018484848484849,2.288787878787879,2022,9
Wednesday,10,6.08875,2.3808333333333334,2022,9
Wednesday,11,5.712692307692308,2.2523076923076926,2022,9
Wednesday,12,5.107058823529411,2.335882352941176,2022,9
Wednesday,13,5.495135135135135,2.0172972972972976,2022,9
Wednesday,14,4.106410256410257,1.2761538461538466,2022,9
Wednesday,15,3.4083720930232566,1.1100000000000003,2022,9
Wednesday,16,3.8419148936170218,1.405744680851064,2022,9
Wednesday,17,5.302599999999999,2.05,2022,9
Wednesday,18,6.33595744680851,2.951489361702128,2022,9
Wednesday,19,4.540416666666666,1.7874999999999999,2022,9
