dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,32.85959999999999,21.483600000000003,2019,2
Friday,1,38.945,23.94791666666667,2019,2
Friday,2,34.12916666666667,21.54041666666667,2019,2
Friday,3,30.45375,19.149166666666662,2019,2
Friday,4,27.148000000000003,17.504000000000005,2019,2
Friday,5,25.09125,16.324583333333333,2019,2
Friday,6,21.1496,14.454799999999999,2019,2
Friday,7,24.0625,15.854166666666664,2019,2
Friday,8,27.281666666666666,17.194999999999997,2019,2
Friday,9,30.913600000000002,19.0164,2019,2
Friday,10,31.301250000000007,19.77416666666667,2019,2
Friday,11,29.857600000000005,20.0384,2019,2
Friday,12,26.101249999999993,18.294583333333335,2019,2
Friday,13,25.409583333333334,18.10458333333333,2019,2
Friday,14,26.712799999999998,18.699200000000005,2019,2
Friday,15,26.57041666666667,18.60291666666667,2019,2
Friday,16,32.70166666666667,22.70458333333333,2019,2
Friday,17,47.312916666666666,31.49333333333333,2019,2
Friday,18,63.04500000000001,41.44041666666666,2019,2
Friday,19,78.836,49.048799999999986,2019,2
Friday,20,87.62958333333334,51.71333333333334,2019,2
Friday,21,73.6875,43.82500000000001,2019,2
Friday,22,65.4936,38.5256,2019,2
Friday,23,54.60874999999999,31.582916666666666,2019,2
Saturday,0,47.14333333333334,27.02125000000001,2019,2
Saturday,1,47.449999999999996,27.019166666666667,2019,2
Saturday,2,55.85040000000001,30.167599999999993,2019,2
Saturday,3,59.85958333333334,31.36999999999999,2019,2
Saturday,4,64.38291666666667,33.65625000000001,2019,2
Saturday,5,77.76125,39.654583333333335,2019,2
Saturday,6,84.75333333333333,43.079583333333325,2019,2
Saturday,7,85.0088,44.1528,2019,2
Saturday,8,92.4095652173913,49.23608695652173,2019,2
Saturday,9,93.875,51.21333333333333,2019,2
Saturday,10,74.7225,44.59166666666667,2019,2
Saturday,11,68.81541666666668,43.247083333333336,2019,2
Saturday,12,65.0368,42.5648,2019,2
Saturday,13,51.8025,34.54749999999999,2019,2
Saturday,14,43.112307692307695,28.0,2019,2
Saturday,15,50.51307692307692,33.700769230769225,2019,2
Saturday,16,61.8075,39.785,2019,2
Saturday,17,66.52208333333333,43.33375,2019,2
Saturday,18,73.50079999999998,48.10800000000001,2019,2
Saturday,19,75.90666666666667,48.93208333333334,2019,2
Saturday,20,83.46958333333333,52.94958333333335,2019,2
Saturday,21,85.0508,54.247600000000006,2019,2
Saturday,22,92.07166666666666,58.507499999999986,2019,2
Saturday,23,106.43319999999999,67.3144,2019,2
Sunday,0,94.73666666666668,59.584166666666675,2019,2
Sunday,1,90.47791666666667,56.27583333333334,2019,2
Sunday,2,89.0332,54.0968,2019,2
Sunday,3,82.88625,50.41333333333332,2019,2
Sunday,4,74.27208333333336,45.61750000000001,2019,2
Sunday,5,68.29320000000001,42.337599999999995,2019,2
Sunday,6,65.4575,41.070416666666674,2019,2
Sunday,7,55.9096,36.6648,2019,2
Sunday,8,48.3175,33.18083333333333,2019,2
Sunday,9,56.23583333333334,38.117916666666666,2019,2
Sunday,10,55.52919999999999,38.333600000000004,2019,2
Sunday,11,38.493333333333325,27.529166666666665,2019,2
Sunday,12,30.649999999999995,21.87833333333333,2019,2
Sunday,13,27.4752,19.727999999999998,2019,2
Sunday,14,27.492916666666662,19.84541666666666,2019,2
Sunday,15,26.76958333333334,18.87666666666667,2019,2
Sunday,16,28.203199999999995,19.2108,2019,2
Sunday,17,33.225833333333334,21.36916666666667,2019,2
Sunday,18,62.24916666666667,43.38041666666667,2019,2
Sunday,19,73.98320000000001,51.186400000000006,2019,2
Sunday,20,87.90708333333335,59.365000000000016,2019,2
Sunday,21,74.17874999999998,50.777499999999996,2019,2
Sunday,22,66.85583333333334,44.63333333333333,2019,2
Sunday,23,73.5312,48.53719999999999,2019,2
Thursday,0,10.967916666666667,4.02625,2019,2
Thursday,1,12.15791666666667,4.763333333333333,2019,2
Thursday,2,11.744799999999998,4.814,2019,2
Thursday,3,12.966249999999997,4.951666666666666,2019,2
Thursday,4,14.328000000000001,5.2248,2019,2
Thursday,5,15.355652173913041,5.928260869565217,2019,2
Thursday,6,16.24666666666667,6.7058333333333335,2019,2
Thursday,7,17.865000000000002,7.730416666666669,2019,2
Thursday,8,18.597200000000004,7.670800000000002,2019,2
Thursday,9,16.41333333333333,6.990833333333334,2019,2
Thursday,10,14.06,5.703750000000002,2019,2
Thursday,11,14.807499999999997,6.146666666666668,2019,2
Thursday,12,14.754800000000003,6.574,2019,2
Thursday,13,12.134583333333333,5.528333333333333,2019,2
Thursday,14,13.366666666666667,5.361250000000001,2019,2
Thursday,15,13.4816,5.4424,2019,2
Thursday,16,14.09625,5.8012500000000005,2019,2
Thursday,17,14.780000000000001,7.426666666666667,2019,2
Thursday,18,18.3604,10.492799999999999,2019,2
Thursday,19,17.415000000000003,10.526666666666669,2019,2
Thursday,20,21.589583333333334,13.396250000000004,2019,2
Thursday,21,27.568799999999996,18.4408,2019,2
Thursday,22,30.265416666666656,20.59833333333333,2019,2
Thursday,23,31.779583333333335,21.22875,2019,2
Tuesday,13,11.153,2.9259999999999997,2019,2
Tuesday,14,11.501304347826084,3.2252173913043474,2019,2
Tuesday,15,9.530416666666667,3.106666666666667,2019,2
Tuesday,16,9.496086956521738,2.920869565217391,2019,2
Tuesday,17,10.210869565217392,3.1013043478260873,2019,2
Tuesday,18,10.136666666666665,3.464166666666666,2019,2
Tuesday,19,10.859166666666665,3.3020833333333335,2019,2
Tuesday,20,10.529166666666667,3.1145833333333326,2019,2
Tuesday,21,11.31,3.0541666666666667,2019,2
Tuesday,22,11.877499999999998,3.1908333333333334,2019,2
Tuesday,23,13.158799999999996,3.3728000000000002,2019,2
Wednesday,0,10.9625,2.7395833333333326,2019,2
Wednesday,1,11.072083333333333,2.6637500000000003,2019,2
Wednesday,2,10.714166666666666,2.844583333333334,2019,2
Wednesday,3,12.637600000000004,3.1716,2019,2
Wednesday,4,12.83875,3.1833333333333336,2019,2
Wednesday,5,12.540799999999999,3.0680000000000005,2019,2
Wednesday,6,12.767083333333332,3.499166666666667,2019,2
Wednesday,7,13.795000000000002,4.2125,2019,2
Wednesday,8,15.442916666666664,4.1691666666666665,2019,2
Wednesday,9,12.557083333333333,3.1225000000000005,2019,2
Wednesday,10,12.549600000000005,3.3824000000000005,2019,2
Wednesday,11,11.05375,3.3891666666666658,2019,2
Wednesday,12,11.0744,3.4012000000000007,2019,2
Wednesday,13,10.75416666666667,3.4291666666666654,2019,2
Wednesday,14,11.687083333333332,3.6254166666666667,2019,2
Wednesday,15,12.9724,4.2992,2019,2
Wednesday,16,12.458333333333334,4.739583333333333,2019,2
Wednesday,17,12.760416666666666,4.632916666666666,2019,2
Wednesday,18,13.355199999999998,5.406799999999999,2019,2
Wednesday,19,12.233999999999998,5.1306666666666665,2019,2
Wednesday,20,12.203333333333333,4.700833333333334,2019,2
Wednesday,21,10.885555555555557,4.4,2019,2
Wednesday,22,10.732000000000001,4.383333333333332,2019,2
Wednesday,23,9.724782608695651,3.698695652173913,2019,2
